Query,BIR_Classic DCG@20,LSI DCG@20,Gain BIR_Classic vs LSI (%)
Q1,24.7694,13.4592,45.66198616034301
Q2,41.7941,15.7052,62.42244718752169
Q3,30.9168,10.5869,65.75680536148631
Q4,25.7577,8.4769,67.0898410960606
Q5,61.2813,18.1547,70.37481254477305
Q6,50.8799,29.2945,42.42421860105857
Q7,79.6917,32.0053,59.83860301637436
Q8,57.0044,16.581,70.91277164569753
Q9,35.8103,16.1843,54.80546099865122
Q10,15.764,3.3433,78.79155036792692
Mean,42.36696,16.379129999999996,61.80784969798932
