Query,BM25 DCG@20,LSI DCG@20,Gain BM25 vs LSI (%)
Q1,37.4276,13.4592,64.03937201423548
Q2,56.9002,15.7052,72.39869104150777
Q3,38.6094,10.5869,72.57947546452418
Q4,34.6095,8.4769,75.5070139701527
Q5,83.7335,18.1547,78.31847468456472
Q6,77.9378,29.2945,62.41297547531492
Q7,107.9673,32.0053,70.3564875661427
Q8,79.5101,16.581,79.14604559672293
Q9,42.2172,16.1843,61.66420321575092
Q10,21.1429,3.3433,84.18712664771625
Mean,58.00555000000001,16.379129999999996,72.06098656766326
