Query,BIR_Extended DCG@20,LSI DCG@20,Gain BIR_Extended vs LSI (%)
Q1,27.4285,13.4592,50.929872213208895
Q2,26.5432,15.7052,40.83155007685584
Q3,18.3863,10.5869,42.41962765754937
Q4,18.6853,8.4769,54.63332138097863
Q5,43.3158,18.1547,58.08758005162089
Q6,49.0371,29.2945,40.26053742982354
Q7,78.617,32.0053,59.289593853746645
Q8,45.4556,16.581,63.52264627460643
Q9,26.2673,16.1843,38.38613028366067
Q10,14.0552,3.3433,76.21307416472196
Mean,34.779129999999995,16.379129999999996,52.457393338677285
