Query,BIR_Classic DCG@20,VSM DCG@20,Gain BIR_Classic vs VSM (%)
Q1,24.7694,1.7549,92.91504840650158
Q2,41.7941,1.6603,96.02742970897806
Q3,30.9168,1.3624,95.5933343683693
Q4,25.7577,1.4717,94.28636873633904
Q5,61.2813,1.6413,97.32169519902483
Q6,50.8799,3.2919,93.53005803863608
Q7,79.6917,1.7242,97.83641207302644
Q8,57.0044,1.5843,97.22074085509189
Q9,35.8103,1.1836,96.69480568439806
Q10,15.764,1.2238,92.23674194366912
Mean,42.36696,1.6898399999999998,95.36626350140344
