Query,BM25 DCG@20,VSM DCG@20,Gain BM25 vs VSM (%)
Q1,37.4276,1.7549,95.31121418418493
Q2,56.9002,1.6603,97.08208407000328
Q3,38.6094,1.3624,96.47132563572602
Q4,34.6095,1.4717,95.74769933110852
Q5,83.7335,1.6413,98.03985262768187
Q6,77.9378,3.2919,95.77624721252076
Q7,107.9673,1.7242,98.4030349930025
Q8,79.5101,1.5843,98.00742295632881
Q9,42.2172,1.1836,97.19640336166302
Q10,21.1429,1.2238,94.21176848965847
Mean,58.00555000000001,1.6898399999999998,96.6247052861878
