Query,BIR_Extended_WithRel DCG@20,VSM DCG@20,Gain BIR_Extended_WithRel vs VSM (%)
Q1,53.4543,1.7549,96.71700873456392
Q2,29.153,1.6603,94.30487428395018
Q3,24.4617,1.3624,94.43047703144099
Q4,17.5809,1.4717,91.62898372665792
Q5,67.2322,1.6413,97.55875904700426
Q6,70.5532,3.2919,95.33415918767682
Q7,76.2844,1.7242,97.73977379385563
Q8,69.4196,1.5843,97.71779151709316
Q9,32.6778,1.1836,96.37796914112946
Q10,9.977,1.2238,87.733787711737
Mean,45.07941,1.6898399999999998,94.95435841751093
