Query,BM25 DCG@20,LM_MLE DCG@20,Gain BM25 vs LM_MLE (%)
Q1,37.4276,0.0,100.0
Q2,56.9002,0.0,100.0
Q3,38.6094,0.0,100.0
Q4,34.6095,0.0,100.0
Q5,83.7335,0.0,100.0
Q6,77.9378,0.0,100.0
Q7,107.9673,0.0,100.0
Q8,79.5101,0.0,100.0
Q9,42.2172,0.0,100.0
Q10,21.1429,0.0004,99.99810811194301
Mean,58.00555000000001,4e-05,99.9998108111943
