Query,LSI DCG@20,VSM DCG@20,Gain LSI vs VSM (%)
Q1,13.4592,1.7549,86.96133499762246
Q2,15.7052,1.6603,89.42834220512952
Q3,10.5869,1.3624,87.13126599854536
Q4,8.4769,1.4717,82.63870046833158
Q5,18.1547,1.6413,90.95936589423124
Q6,29.2945,3.2919,88.76273703254878
Q7,32.0053,1.7242,94.61276726042249
Q8,16.581,1.5843,90.44508775104035
Q9,16.1843,1.1836,92.68673961802487
Q10,3.3433,1.2238,63.395447611641195
Mean,16.379129999999996,1.6898399999999998,86.70217888375377
