Query,BIR_Classic_WithRel DCG@20,VSM DCG@20,Gain BIR_Classic_WithRel vs VSM (%)
Q1,48.7713,1.7549,96.4017772747497
Q2,43.3649,1.6603,96.17132750219648
Q3,39.2643,1.3624,96.53018136067624
Q4,30.9,1.4717,95.23721682847896
Q5,85.1613,1.6413,98.07271612810044
Q6,71.2388,3.2919,95.37906309483036
Q7,79.7829,1.7242,97.8388852749148
Q8,68.836,1.5843,97.6984426753443
Q9,36.6931,1.1836,96.77432541813039
Q10,11.6488,1.2238,89.49419682714098
Mean,51.566140000000004,1.6898399999999998,95.95981323845626
