Query,BIR_Extended_WithRel DCG@20,LSI DCG@20,Gain BIR_Extended_WithRel vs LSI (%)
Q1,53.4543,13.4592,74.82110887243871
Q2,29.153,15.7052,46.12835728741467
Q3,24.4617,10.5869,56.72050593376585
Q4,17.5809,8.4769,51.783469560716455
Q5,67.2322,18.1547,72.99701631063688
Q6,70.5532,29.2945,58.478850002551276
Q7,76.2844,32.0053,58.04476406709629
Q8,69.4196,16.581,76.11481483615577
Q9,32.6778,16.1843,50.4731040645331
Q10,9.977,3.3433,66.48992683171294
Mean,45.07941,16.379129999999996,61.2051917767022
