Query,BIR_Extended DCG@20,VSM DCG@20,Gain BIR_Extended vs VSM (%)
Q1,27.4285,1.7549,93.60191042164172
Q2,26.5432,1.6603,93.74491395159589
Q3,18.3863,1.3624,92.59013504620287
Q4,18.6853,1.4717,92.12375503738234
Q5,43.3158,1.6413,96.21085146759381
Q6,49.0371,3.2919,93.28691949564718
Q7,78.617,1.7242,97.80683567167408
Q8,45.4556,1.5843,96.51462086079603
Q9,26.2673,1.1836,95.4940172762332
Q10,14.0552,1.2238,91.29290227104559
Mean,34.779129999999995,1.6898399999999998,94.26668614998128
