Query,BM25 AP,LSI AP,Gain BM25 vs LSI (%)
Q1,0.8237,0.9774,-15.725393902189488
Q2,0.495,0.4579,8.102205721773318
Q3,0.5804,0.5761,0.7463981947578688
Q4,0.3832,0.2081,84.14223930802498
Q5,0.8151,0.7896,3.229483282674782
Q6,0.7696,0.6629,16.095942072710802
Q7,0.6269,0.5809,7.918746772249964
Q8,0.498,0.4238,17.50825861255309
Q9,0.4565,0.5358,-14.80029861888765
Q10,0.2449,0.4886,-49.87720016373311
Mean,0.5693300000000001,0.57011,5.734038127993455
