Query,BIR_Extended AP,LSI AP,Gain BIR_Extended vs LSI (%)
Q1,0.8123,0.9774,-16.891753632085123
Q2,0.369,0.4579,-19.41471937104171
Q3,0.5243,0.5761,-8.991494532199264
Q4,0.2378,0.2081,14.271984622777511
Q5,0.7608,0.7896,-3.6474164133738523
Q6,0.7094,0.6629,7.014632674611552
Q7,0.5979,0.5809,2.9264933723532476
Q8,0.5291,0.4238,24.846625766871167
Q9,0.4063,0.5358,-24.169466218738343
Q10,0.2317,0.4886,-52.57879656160459
Mean,0.51786,0.57011,-7.66339102924294
