Query,BM25 DCG@20,LSI DCG@20,Gain BM25 vs LSI (%)
Q1,37.4276,13.4592,178.0819067998098
Q2,56.9002,15.7052,262.30165804956323
Q3,38.6094,10.5869,264.6903248354098
Q4,34.6095,8.4769,308.2801495829843
Q5,83.7335,18.1547,361.2221628558996
Q6,77.9378,29.2945,166.04925839321373
Q7,107.9673,32.0053,237.34194024114754
Q8,79.5101,16.581,379.5253603522103
Q9,42.2172,16.1843,160.85280178938845
Q10,21.1429,3.3433,532.3961355546916
Mean,58.00555000000001,16.379129999999996,285.07416984543187
