Query,LSI DCG@20,VSM DCG@20,Gain LSI vs VSM (%)
Q1,13.4592,1.7549,666.9496837426634
Q2,15.7052,1.6603,845.9254351623199
Q3,10.5869,1.3624,677.0772166764532
Q4,8.4769,1.4717,475.99374872596314
Q5,18.1547,1.6413,1006.1171022969596
Q6,29.2945,3.2919,789.8964124062092
Q7,32.0053,1.7242,1756.2405753392877
Q8,16.581,1.5843,946.5820867259987
Q9,16.1843,1.1836,1267.379182156134
Q10,3.3433,1.2238,173.1900637359046
Mean,16.379129999999996,1.6898399999999998,860.5351506967894
